,dwnstrm [Ambient],,
,CO2,,,
04/05/17 10:43:42.069,"2655",,
04/05/17 10:43:47.069,"2698",,
04/05/17 10:43:52.068,"2703",,
04/05/17 10:43:57.069,"2746",,
04/05/17 10:44:02.069,"2746",,
04/05/17 10:44:02.069,"2746",,
04/05/17 10:44:07.069,"2741",,
04/05/17 10:44:12.069,"2727",,
04/05/17 10:44:17.069,"2707",,
04/05/17 10:44:22.069,"2722",,
04/05/17 10:44:27.068,"2732",,
04/05/17 10:44:32.070,"2717",,
04/05/17 10:44:37.069,"2736",,
04/05/17 10:44:42.068,"2736",,
04/05/17 10:44:47.069,"2762",,
04/05/17 10:44:52.069,"2737",,
04/05/17 10:44:57.069,"2737",,
04/05/17 10:45:02.068,"2757",,
04/05/17 10:45:07.069,"2791",,
04/05/17 10:45:12.069,"2776",,
04/05/17 10:45:17.068,"2781",,
04/05/17 10:45:22.069,"2776",,
04/05/17 10:45:27.069,"2786",,
04/05/17 10:45:32.069,"2791",,
04/05/17 10:45:37.068,"2781",,
04/05/17 10:45:42.069,"2767",,
04/05/17 10:45:47.069,"2786",,
04/05/17 10:45:52.068,"2742",,
04/05/17 10:45:57.069,"2742",,
04/05/17 10:46:02.069,"2757",,
04/05/17 10:46:07.069,"2767",,
04/05/17 10:46:12.068,"2776",,
04/05/17 10:46:17.069,"2742",,
04/05/17 10:46:22.069,"2723",,
04/05/17 10:46:27.068,"2747",,
04/05/17 10:46:32.069,"2728",,
04/05/17 10:46:37.069,"2708",,
04/05/17 10:46:42.069,"2708",,
04/05/17 10:46:47.068,"2718",,
04/05/17 10:46:52.069,"2718",,
04/05/17 10:46:57.069,"2723",,
04/05/17 10:47:02.068,"2733",,
04/05/17 10:47:07.069,"2747",,
04/05/17 10:47:12.069,"2742",,
04/05/17 10:47:17.069,"2733",,
04/05/17 10:47:22.068,"2757",,
04/05/17 10:47:27.069,"2737",,
04/05/17 10:47:32.069,"2767",,
04/05/17 10:47:37.068,"2782",,
04/05/17 10:47:42.069,"2763",,
04/05/17 10:47:47.069,"2768",,
04/05/17 10:47:52.069,"2763",,
04/05/17 10:47:57.068,"2763",,
04/05/17 10:48:02.069,"2777",,
04/05/17 10:48:07.069,"2787",,
04/05/17 10:48:12.068,"2787",,
04/05/17 10:48:17.069,"2807",,
04/05/17 10:48:17.069,"2807",,
04/05/17 10:48:22.069,"2812",,
04/05/17 10:48:27.069,"2821",,
04/05/17 10:48:32.069,"2816",,
04/05/17 10:48:37.069,"2841",,
04/05/17 10:48:42.069,"2821",,
04/05/17 10:48:47.068,"2831",,
04/05/17 10:48:52.069,"2836",,
04/05/17 10:48:57.069,"2841",,
04/05/17 10:49:02.069,"2865",,
04/05/17 10:49:07.069,"2870",,
04/05/17 10:49:12.069,"2890",,
04/05/17 10:49:17.069,"2851",,
04/05/17 10:49:22.068,"2816",,
04/05/17 10:49:27.069,"2802",,
04/05/17 10:49:32.069,"2851",,
04/05/17 10:49:37.069,"2816",,
04/05/17 10:49:42.069,"2797",,
