,upstrm [Ambient],,,dwnstrm [Ambient],Time Elapsed,AI 2: Upstream CO2 (%),AI 10: Downstream CO2 (%)
04/04/17 13:09:50.50,143,,04/04/17 13:10:06.06,148,12748.94041,0.438147102,-0.007489356
04/04/17 13:09:55.55,149,,04/04/17 13:10:11.11,164,12749.44265,0.432766383,-0.004090877
04/04/17 13:10:00.00,153,,04/04/17 13:10:16.16,174,12749.94586,0.435885373,-0.008381213
04/04/17 13:10:05.05,169,,04/04/17 13:10:21.21,167,12750.43805,0.435754465,-0.004986104
04/04/17 13:10:10.10,167,,04/04/17 13:10:26.26,158,12750.94432,0.439605628,-0.007846251
04/04/17 13:10:15.15,174,,04/04/17 13:10:31.31,172,12751.44343,0.433129771,-0.00945576
04/04/17 13:10:20.20,190,,04/04/17 13:10:36.36,186,12751.93646,0.435551843,-0.009995766
04/04/17 13:10:25.25,188,,04/04/17 13:10:41.41,191,12752.43762,0.434632096,-0.009639268
04/04/17 13:10:30.30,192,,04/04/17 13:10:46.46,203,12752.93679,0.439069549,-0.009815087
04/04/17 13:10:35.35,210,,04/04/17 13:10:51.51,200,12753.44099,0.435574466,-0.01070762
04/04/17 13:10:40.40,212,,04/04/17 13:10:56.56,214,12753.94711,0.437978112,-0.00659776
04/04/17 13:10:45.45,205,,04/04/17 13:11:01.01,207,12754.43721,0.435247663,-0.00498698
04/04/17 13:10:50.50,213,,04/04/17 13:11:06.06,210,12754.93724,0.439082894,-0.005524
04/04/17 13:10:55.55,223,,04/04/17 13:11:11.11,215,12755.43942,0.435546212,-0.01034946
04/04/17 13:11:00.00,240,,04/04/17 13:11:11.11,215,12755.93749,0.437662728,-0.004450419
04/04/17 13:11:05.05,249,,04/04/17 13:11:16.16,228,12756.43853,0.436808394,-0.008028632
04/04/17 13:11:10.10,250,,04/04/17 13:11:21.21,228,12756.9386,0.437172313,-0.008384411
04/04/17 13:11:15.15,249,,04/04/17 13:11:26.26,235,12757.43878,0.436515698,-0.008209264
04/04/17 13:11:15.15,249,,04/04/17 13:11:31.31,246,12757.94391,0.435458531,-0.006598526
04/04/17 13:11:20.20,259,,04/04/17 13:11:36.36,263,12758.43804,0.438058472,-0.007492737
04/04/17 13:11:25.25,275,,04/04/17 13:11:41.41,256,12758.94129,0.439190744,-0.003018619
04/04/17 13:11:30.30,282,,04/04/17 13:11:46.46,244,12759.44057,0.438625908,-0.003911522
04/04/17 13:11:35.35,273,,04/04/17 13:11:51.51,276,12759.93877,0.436159026,-0.004092426
04/04/17 13:11:40.40,292,,04/04/17 13:11:56.56,263,12760.44293,0.439279808,-0.006595867
04/04/17 13:11:45.45,299,,04/04/17 13:12:01.01,282,12760.93806,0.436091964,-0.003377121
04/04/17 13:11:50.50,291,,04/04/17 13:12:06.06,289,12761.43613,0.437215019,-0.006953015
04/04/17 13:11:55.55,285,,04/04/17 13:12:11.11,284,12761.93941,0.438045855,-0.006776548
04/04/17 13:12:00.00,287,,04/04/17 13:12:16.16,289,12762.43744,0.440658487,-0.008921867
04/04/17 13:12:05.05,289,,04/04/17 13:12:21.21,291,12762.93864,0.438058086,-0.001766619
04/04/17 13:12:10.10,305,,04/04/17 13:12:26.26,287,12763.44984,0.440631103,-0.006236684
04/04/17 13:12:15.15,301,,04/04/17 13:12:31.31,282,12763.93895,0.439586292,-0.003196775
04/04/17 13:12:20.20,323,,04/04/17 13:12:36.36,293,12764.43914,0.441854788,-0.007488788
04/04/17 13:12:25.25,350,,04/04/17 13:12:41.41,298,12764.94817,0.436320646,-0.004627523
04/04/17 13:12:30.30,346,,04/04/17 13:12:46.46,317,12765.43835,0.440538805,-0.00409288
04/04/17 13:12:35.35,335,,04/04/17 13:12:51.51,322,12765.93859,0.437331035,-0.004808124
04/04/17 13:12:40.40,335,,04/04/17 13:12:56.56,319,12766.44882,0.442391899,-0.004987236
04/04/17 13:12:45.45,342,,04/04/17 13:13:01.01,339,12766.93883,0.439161865,-0.002123441
04/04/17 13:12:50.50,342,,04/04/17 13:13:06.06,347,12767.4411,0.443537686,-0.004092348
04/04/17 13:12:55.55,353,,04/04/17 13:13:11.11,351,12767.93641,0.440328711,0.000738439
04/04/17 13:13:00.00,366,,04/04/17 13:13:16.16,341,12768.44161,0.443080066,-0.004807214
04/04/17 13:13:05.05,372,,04/04/17 13:13:21.21,324,12768.9398,0.440692236,-0.000513849
04/04/17 13:13:10.10,392,,04/04/17 13:13:26.26,328,12769.43883,0.444535523,-0.002482053
04/04/17 13:13:15.15,388,,04/04/17 13:13:31.31,337,12769.9459,0.440164175,-0.000156091
04/04/17 13:13:20.20,386,,04/04/17 13:13:36.36,345,12770.44195,0.447683923,-0.003197024
04/04/17 13:13:25.25,378,,04/04/17 13:13:41.41,353,12770.938,0.440398426,-0.000334901
04/04/17 13:13:30.30,382,,04/04/17 13:13:46.46,357,12771.4361,0.444513545,-0.003019149
04/04/17 13:13:35.35,378,,04/04/17 13:13:51.51,347,12771.94315,0.440818275,-0.001229237
04/04/17 13:13:40.40,382,,04/04/17 13:13:56.56,339,12772.44329,0.448721417,-0.002481496
04/04/17 13:13:45.45,376,,04/04/17 13:14:01.01,383,12772.9403,0.443135418,0.000559395
04/04/17 13:13:50.50,384,,04/04/17 13:14:06.06,377,12773.44232,0.447092806,-0.003376929
04/04/17 13:13:55.55,384,,04/04/17 13:14:11.11,377,12773.96536,0.445352139,0.000738505
04/04/17 13:14:00.00,407,,04/04/17 13:14:16.16,379,12774.46539,0.447344728,-0.005344274
04/04/17 13:14:05.05,407,,04/04/17 13:14:21.21,376,12774.96741,0.447344334,-0.002124447
04/04/17 13:14:10.10,398,,04/04/17 13:14:26.26,385,12775.47246,0.451675839,-0.004270911
04/04/17 13:14:15.15,409,,04/04/17 13:14:31.31,381,12775.96547,0.447952598,-0.001050725
04/04/17 13:14:20.20,409,,04/04/17 13:14:36.36,387,12776.4785,0.452710844,-0.005700294
04/04/17 13:14:25.25,423,,04/04/17 13:14:41.41,393,12776.97058,0.450818963,-0.003197847
04/04/17 13:14:30.30,435,,04/04/17 13:14:46.46,383,12777.46472,0.453515486,-0.006597403
04/04/17 13:14:35.35,435,,04/04/17 13:14:51.51,383,12777.96473,0.45110895,-0.004626833
04/04/17 13:14:40.40,437,,04/04/17 13:14:56.56,417,12778.47178,0.4547987,-0.008740251
04/04/17 13:14:45.45,435,,04/04/17 13:15:01.01,417,12779.0828,0.45241429,-0.008027133
04/04/17 13:14:50.50,437,,04/04/17 13:15:06.06,413,12779.57982,0.455874302,-0.01053356
04/04/17 13:14:55.55,441,,04/04/17 13:15:11.11,409,12780.07085,0.451511503,-0.006951717
04/04/17 13:15:00.00,454,,04/04/17 13:15:16.16,409,12780.59988,0.4567296,-0.012676441
04/04/17 13:15:05.05,464,,04/04/17 13:15:21.21,415,12781.24593,0.457874701,-0.013039602
04/04/17 13:15:10.10,443,,04/04/17 13:15:26.26,413,12781.76495,0.452670906,-0.010531566
04/04/17 13:15:15.15,443,,04/04/17 13:15:26.26,413,12782.24298,0.457206125,-0.014822073
04/04/17 13:15:20.20,429,,04/04/17 13:15:31.31,425,12782.753,0.455119751,-0.010529572
04/04/17 13:15:25.25,439,,04/04/17 13:15:36.36,421,12783.24405,0.45715884,-0.015896741
04/04/17 13:15:30.30,433,,04/04/17 13:15:41.41,433,12783.83607,0.455737225,-0.011252291
04/04/17 13:15:30.30,433,,04/04/17 13:15:46.46,437,12784.3271,0.459420969,-0.015360672
