Shortcut,Name,Phase,Molar Mass,Melting Point,Boiling Point,Density,Heat Capacity,Linear Expansion Coefficient,Modulus of Elasticity,
sSubstance,sName,ttxPhases,fMolarMass,fMeltPoint,fBoilPoint,fDensity,fCp,fExpCoeff,fModElast,number of properties is not limited. as long as the name is in the first row and the variablename in the second!
-,-,-,kg/mol,K,K,kg/m3,J/(kg*K),-,-,
Sylobead_B125,Sylobead_B125,solid,0.03,,,1240,870,,,
Feces,Feces,solid,0.03,,,1,1,,,
Feces,Feces,liquid,0.03,,,1,1,,,
UrineSolids,UrineSolids,liquid,0.018015275,,,999.1,4188.5,,,
Human,Human,solid,0.03,,,985,4184,,,
Human_Tissue,Human_Tissue,solid,0.03,,,1059.9,3421,,,
Human_Skin,Human_Skin,solid,0.03,,,1090,3391,,,
Human_Fat_Subcutaneous,Human_Fat_Subcutaneous,solid,0.03,,,909.4,2348,,,
Human_Bone,Human_Bone,solid,0.03,,,1750,1500,,,
Human_Blood,Human_Blood,liquid,0.03,,,1060,3594,,,
Clothing_Sweat,Clothing – Sweatshirt/Longsleeve,solid,0.03,,,500,1000,,,https://de.wikipedia.org/wiki/Baumwolle ? And from above – Cellulose?
Clothing_Nomex_Tough,Nomex ,solid,0.03,,,50,1000,,,http://www.ibena.com/tl_files/files/protect/downloads/Product%20overview%20fabric%20for%20firefighting%20and%20emergency%20services%20EN.pdf - Weight 200g/m^2 → thickness assumed to be 0.4cm → kg/m^3 → 200/1000 / 0.04 → thinner??
Clothing_Goretex_Flameliner,Gore-Tex Flameliner,solid,0.03,,,250,1000,,,guessed
CabbageEdibleWet,CabbageEdibleWet,liquid,0.02307,,,804,1860,,,
CabbageInedibleWet,CabbageInedibleWet,liquid,0.02307,,,804,1860,,,
CabbageEdibleWet,CabbageEdibleWet,solid,0.02307,,,804,1860,,,
CabbageInedibleWet,CabbageInedibleWet,solid,0.02307,,,804,1860,,,
CarrotsEdibleWet,CarrotsEdibleWet,liquid,0.02307,,,804,1860,,,
CarrotsInedibleWet,CarrotsInedibleWet,liquid,0.02307,,,804,1860,,,
CarrotsEdibleWet,CarrotsEdibleWet,solid,0.02307,,,804,1860,,,
CarrotsInedibleWet,CarrotsInedibleWet,solid,0.02307,,,804,1860,,,
CeleryEdibleWet,CeleryEdibleWet,liquid,0.02307,,,804,1860,,,
